afghanistan;Asia;Southern Asia;Afghanistan
Afganistan;Asia;Southern Asia;Afghanistan
Afghanistan;Asia;Southern Asia;Afghanistan
Albania;Europe & Russia;EU candidate & potential candidate countries;Albania
albania;Europe & Russia;EU candidate & potential candidate countries;Albania
Algeria;Africa;Northern Africa;Algeria
ALGERIA;Africa;Northern Africa;Algeria
;Europe & Russia;Other European countries & Russia;Andorra
Angola;Africa;Western Africa;Angola
Anguilla;Latin America & Caribbean;Caribbean;Anguilla
Antigua & Baruda;Latin America & Caribbean;Caribbean;Antigua and Barbuda
Antigua & Barbuda;Latin America & Caribbean;Caribbean;Antigua and Barbuda
Antigua and Barbuda;Latin America & Caribbean;Caribbean;Antigua and Barbuda
Argentina;Latin America & Caribbean;Southern America;Argentina
Armenia;Asia;Western Asia;Armenia
ARMENIA;Asia;Western Asia;Armenia
;Latin America & Caribbean;Caribbean;Aruba
Australia;Oceania & Pacific;Oceania;Australia
Austria;Europe & Russia;EU Member States;Austria
Azberbaijan;Asia;Western Asia;Azerbaijan
Azerbaijan;Asia;Western Asia;Azerbaijan
Azerbajan;Asia;Western Asia;Azerbaijan
Azerbajani;Asia;Western Asia;Azerbaijan
Bahamas;Latin America & Caribbean;Caribbean;Bahamas
Bangladesh;Asia;Southern Asia;Bangladesh
BANGLADESH;Asia;Southern Asia;Bangladesh
bangladesh;Asia;Southern Asia;Bangladesh
Bangladsh;Asia;Southern Asia;Bangladesh
Bangladesh ;Asia;Southern Asia;Bangladesh
Bengladesh;Asia;Southern Asia;Bangladesh
Barbados;Latin America & Caribbean;Caribbean;Barbados
Belarus;Europe & Russia;Other European countries & Russia;Belarus
Belgique;Europe & Russia;EU Member States;Belgium
belgique;Europe & Russia;EU Member States;Belgium
Belgium;Europe & Russia;EU Member States;Belgium
Belize;Latin America & Caribbean;Central America;Belize
Benin;Africa;Western Africa;Benin
benin;Africa;Western Africa;Benin
Bhutan;Asia;Southern Asia;Bhutan
Bolivia;Latin America & Caribbean;Southern America;Bolivia
Bosnia and Herzegovina;Europe & Russia;EU candidate & potential candidate countries;Bosnia and Herzegovina
Bosnia-Herzegovina;Europe & Russia;EU candidate & potential candidate countries;Bosnia and Herzegovina
BOTSWANA;Africa;Central Africa;Botswana
Botswana;Africa;Central Africa;Botswana
Bostwana;Africa;Central Africa;Botswana
Brazil;Latin America & Caribbean;Southern America;Brazil
brazil;Latin America & Caribbean;Southern America;Brazil
British Virgin Islands ;Latin America & Caribbean;Caribbean;British Virgin Islands
;Asia;Eastern Asia;Brunei Darussalam
Bulgaria;Europe & Russia;EU Member States;Bulgaria
bulgaria;Europe & Russia;EU Member States;Bulgaria
burkina;Africa;Western Africa;Burkina Faso
Burkina Faso;Africa;Western Africa;Burkina Faso
BURKINA FASO;Africa;Western Africa;Burkina Faso
burkina faso;Africa;Western Africa;Burkina Faso
Burundi;Africa;Central Africa;Burundi
CAPE VERDE;Africa;Western Africa;Cabo Verde
Cape Verde;Africa;Western Africa;Cabo Verde
Cap Verde;Africa;Western Africa;Cabo Verde
Cabo Verde;Africa;Western Africa;Cabo Verde
Cap Vert;Africa;Western Africa;Cabo Verde
Cambodia;Asia;South-Eastern Asia;Cambodia
CAMEROON;Africa;Western Africa;Cameroon
Cameroon;Africa;Western Africa;Cameroon
;Latin America & Caribbean;Caribbean;Cayman Islands
Central Africa Republic;Africa;Western Africa;Central African Republic
central africa republic;Africa;Western Africa;Central African Republic
CAR;Africa;Western Africa;Central African Republic
Chad;Africa;Western Africa;Chad
Chile;Latin America & Caribbean;Southern America;Chile
CHILE;Latin America & Caribbean;Southern America;Chile
chile;Latin America & Caribbean;Southern America;Chile
China;Asia;Eastern Asia;China
china;Asia;Eastern Asia;China
Colombia;Latin America & Caribbean;Southern America;Colombia
Comores;Africa;Eastern Africa;Comoros
Comoros;Africa;Eastern Africa;Comoros
Congo ;Africa;Western Africa;Congo
Republic of Congo;Africa;Western Africa;Congo
Congo;Africa;Western Africa;Congo
Cook Islands;Oceania & Pacific;Pacific;Cook Islands
Costa Rica;Latin America & Caribbean;Central America;Costa Rica
Ivory Coast;Africa;Western Africa;Cote d'Ivoire
C�te d�Ivoire;Africa;Western Africa;Cote d'Ivoire
Cote D'Ivoire;Africa;Western Africa;Cote d'Ivoire
Cote d'Ivoire;Africa;Western Africa;Cote d'Ivoire
C�te d�Ivoire ;Africa;Western Africa;Cote d'Ivoire
C�te d'Ivoire ;Africa;Western Africa;Cote d'Ivoire
C�te d'Ivoire;Africa;Western Africa;Cote d'Ivoire
croatia;Europe & Russia;EU Member States;Croatia
Cuba;Latin America & Caribbean;Caribbean;Cuba
